                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.5135,                 2.0564,                 1.1069,                0.94724,                0.71187,                0.59023,                0.65187,                0.34151,                0.66594,                0.50689,                0.51237,                0.20916,                  1.452,                 2.2697,                 1.0037,                0.92652,             2.2008e-05,             2.2008e-05,             2.2008e-05
                     80,                 1.5409,                 2.0332,                 1.1313,                0.95597,                 0.7354,                0.57734,                0.65237,                0.34239,                0.68495,                0.50275,                0.51474,                0.21118,                 1.4453,                 2.2459,                  1.001,                0.92719,             2.1008e-05,             2.1008e-05,             2.1008e-05
                     81,                 1.5191,                 2.0265,                 1.1061,                0.94537,                0.73207,                0.58162,                0.65156,                0.34394,                0.66813,                0.50383,                0.51558,                0.21173,                  1.439,                 2.2552,                 1.0009,                0.92567,             2.0008e-05,             2.0008e-05,             2.0008e-05
                     82,                 1.5174,                 2.0584,                 1.1197,                0.95507,                0.72683,                0.58268,                0.64852,                0.34506,                0.65653,                0.50933,                0.50947,                0.20932,                 1.4385,                 2.2572,                 1.0039,                0.92622,             1.9008e-05,             1.9008e-05,             1.9008e-05
                     83,                 1.5251,                 2.0057,                  1.111,                0.95125,                0.69952,                0.60337,                0.64667,                0.34132,                0.66962,                0.51914,                0.51738,                0.21056,                 1.4413,                   2.25,                 1.0015,                0.92613,             1.8008e-05,             1.8008e-05,             1.8008e-05
                     84,                 1.5274,                 1.9986,                 1.1226,                0.95109,                0.70335,                0.60796,                0.65342,                0.34535,                0.65584,                0.52221,                0.51782,                0.21108,                 1.4322,                 2.2531,                0.99408,                0.92488,             1.7008e-05,             1.7008e-05,             1.7008e-05
                     85,                 1.5042,                 2.0408,                 1.1078,                0.94863,                0.70385,                0.58959,                0.65189,                0.34444,                0.64388,                0.51914,                0.51945,                0.21199,                 1.4333,                 2.2517,                0.99362,                0.92526,             1.6008e-05,             1.6008e-05,             1.6008e-05
                     86,                 1.5061,                 2.0572,                 1.1134,                 0.9462,                0.72769,                0.58652,                0.65167,                0.34315,                0.67889,                0.49861,                0.51927,                0.21112,                 1.4454,                 2.2605,                0.99632,                0.92674,             1.5009e-05,             1.5009e-05,             1.5009e-05
                     87,                 1.5104,                 2.0118,                 1.1163,                0.94811,                0.68809,                0.60796,                 0.6536,                0.34426,                0.67315,                0.51725,                0.52308,                0.21148,                 1.4357,                 2.2538,                0.99191,                0.92492,             1.4009e-05,             1.4009e-05,             1.4009e-05
                     88,                 1.5194,                 2.0262,                 1.1133,                 0.9501,                0.71602,                0.59265,                0.65382,                0.34293,                0.65903,                0.52093,                0.51953,                0.20971,                 1.4365,                 2.2614,                0.99805,                 0.9257,             1.3009e-05,             1.3009e-05,             1.3009e-05
                     89,                 1.5067,                 2.0382,                 1.0877,                0.94859,                0.73361,                0.58193,                0.64991,                0.34043,                0.67021,                0.51662,                 0.5217,                0.21017,                 1.4428,                 2.2709,                 0.9981,                0.92605,             1.2009e-05,             1.2009e-05,             1.2009e-05
                     90,                 1.5113,                 2.0225,                 1.1033,                0.94865,                0.71201,                0.59822,                0.65286,                0.34591,                0.66071,                0.52374,                0.52632,                0.21224,                 1.4358,                  2.256,                0.99339,                0.92451,             1.1009e-05,             1.1009e-05,             1.1009e-05
                     91,                  1.497,                 1.9884,                 1.0912,                0.94543,                 0.7182,                0.60031,                0.65542,                0.34427,                 0.6636,                0.52261,                0.52695,                0.20997,                 1.4373,                 2.2579,                0.99114,                0.92554,             1.0009e-05,             1.0009e-05,             1.0009e-05
                     92,                 1.5213,                 2.0258,                 1.1133,                0.95215,                0.72006,                0.59265,                0.65679,                0.34351,                0.65425,                 0.5268,                0.52593,                0.21059,                 1.4364,                 2.2549,                0.98935,                0.92456,             9.0091e-06,             9.0091e-06,             9.0091e-06
                     93,                  1.509,                  1.989,                 1.0982,                0.95048,                 0.7306,                0.58972,                0.65747,                 0.3461,                0.66333,                0.52067,                0.52583,                0.21287,                 1.4321,                 2.2605,                0.98808,                0.92487,             8.0092e-06,             8.0092e-06,             8.0092e-06
                     94,                 1.5072,                 2.0277,                 1.0917,                0.95105,                 0.7255,                0.60308,                0.65707,                0.34615,                0.66097,                0.51651,                0.52153,                0.21243,                 1.4326,                 2.2583,                0.98868,                 0.9252,             7.0093e-06,             7.0093e-06,             7.0093e-06
